Unknown,ArmedAssault
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Punjab,ArmedAssault
WestBengal,ArmedAssault
Punjab,Assassination
Uttaranchal,Assassination
Gujarat,Assassination
Unknown,ArmedAssault
Orissa,ArmedAssault
Uttaranchal,HostageTaking(Kidnapping)
MadhyaPradesh,Assassination
MadhyaPradesh,ArmedAssault
Punjab,Assassination
WestBengal,Bombing/Explosion
WestBengal,Bombing/Explosion
WestBengal,ArmedAssault
Unknown,Unknown
Unknown,Assassination
Haryana,Assassination
Unknown,ArmedAssault
Punjab,Unknown
WestBengal,Bombing/Explosion
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
UttarPradesh,Assassination
Karnataka,Assassination
WestBengal,ArmedAssault
Punjab,Assassination
Unknown,ArmedAssault
Punjab,ArmedAssault
JammuandKashmir,ArmedAssault
HimachalPradesh,Facility/InfrastructureAttack
Unknown,Facility/InfrastructureAttack
WestBengal,ArmedAssault
Unknown,Assassination
Chandigarh,Unknown
Punjab,Assassination
Orissa,Assassination
Punjab,Assassination
Unknown,ArmedAssault
UttarPradesh,Assassination
Unknown,Assassination
WestBengal,Assassination
Unknown,Assassination
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Haryana,ArmedAssault
Punjab,ArmedAssault
Punjab,ArmedAssault
Unknown,ArmedAssault
WestBengal,ArmedAssault
Unknown,ArmedAssault
Punjab,Assassination
Punjab,Assassination
WestBengal,Assassination
Maharashtra,ArmedAssault
Rajasthan,Assassination
Punjab,Assassination
UttarPradesh,Assassination
Chhattisgarh,ArmedAssault
WestBengal,ArmedAssault
WestBengal,Facility/InfrastructureAttack
WestBengal,Facility/InfrastructureAttack
WestBengal,ArmedAssault
UttarPradesh,ArmedAssault
JammuandKashmir,ArmedAssault
Punjab,Assassination
UttarPradesh,Assassination
Punjab,Assassination
Unknown,Assassination
Unknown,Assassination
Punjab,Assassination
WestBengal,Bombing/Explosion
WestBengal,Bombing/Explosion
WestBengal,ArmedAssault
WestBengal,Assassination
WestBengal,ArmedAssault
Punjab,Bombing/Explosion
Punjab,Bombing/Explosion
Punjab,Bombing/Explosion
Punjab,Bombing/Explosion
Punjab,Bombing/Explosion
Punjab,ArmedAssault
UttarPradesh,Assassination
Punjab,Assassination
Punjab,Assassination
Punjab,ArmedAssault
Unknown,ArmedAssault
Punjab,ArmedAssault
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
UttarPradesh,ArmedAssault
AndhraPradesh,ArmedAssault
Unknown,Assassination
JammuandKashmir,Assassination
Punjab,Assassination
Unknown,Assassination
Punjab,Assassination
Punjab,Assassination
Uttaranchal,Assassination
Punjab,Assassination
Punjab,ArmedAssault
Punjab,Assassination
Punjab,Assassination
WestBengal,Bombing/Explosion
WestBengal,Bombing/Explosion
Punjab,ArmedAssault
Punjab,ArmedAssault
UttarPradesh,Assassination
Punjab,Assassination
WestBengal,ArmedAssault
Orissa,Facility/InfrastructureAttack
Punjab,Assassination
Punjab,Assassination
Uttaranchal,Assassination
Punjab,Bombing/Explosion
UttarPradesh,ArmedAssault
Punjab,ArmedAssault
Delhi,Unknown
UttarPradesh,Assassination
MadhyaPradesh,Bombing/Explosion
HimachalPradesh,ArmedAssault
Delhi,Assassination
JammuandKashmir,Assassination
MadhyaPradesh,Assassination
Unknown,ArmedAssault
Unknown,Assassination
MadhyaPradesh,Assassination
Punjab,Bombing/Explosion
Punjab,Assassination
Punjab,Bombing/Explosion
Haryana,ArmedAssault
Uttaranchal,ArmedAssault
Punjab,Assassination
Unknown,Assassination
Delhi,Facility/InfrastructureAttack
Maharashtra,ArmedAssault
UttarPradesh,Assassination
Punjab,Assassination
Rajasthan,Assassination
Punjab,Assassination
Punjab,Assassination
WestBengal,Bombing/Explosion
WestBengal,Bombing/Explosion
Punjab,ArmedAssault
Rajasthan,Assassination
MadhyaPradesh,Assassination
UttarPradesh,Assassination
Manipur,ArmedAssault
Karnataka,HostageTaking(Kidnapping)
Punjab,Assassination
Punjab,ArmedAssault
WestBengal,Assassination
WestBengal,Assassination
Punjab,ArmedAssault
Orissa,ArmedAssault
Chandigarh,Assassination
Punjab,ArmedAssault
Rajasthan,Assassination
Punjab,Assassination
Unknown,ArmedAssault
WestBengal,Bombing/Explosion
Haryana,ArmedAssault
Delhi,Bombing/Explosion
Haryana,ArmedAssault
WestBengal,HostageTaking(Kidnapping)
WestBengal,ArmedAssault
HimachalPradesh,ArmedAssault
WestBengal,ArmedAssault
Punjab,Assassination
WestBengal,Bombing/Explosion
WestBengal,Bombing/Explosion
WestBengal,Bombing/Explosion
Punjab,Assassination
Punjab,Assassination
Rajasthan,ArmedAssault
Punjab,ArmedAssault
Punjab,Bombing/Explosion
Punjab,Assassination
Punjab,ArmedAssault
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Punjab,Assassination
Punjab,ArmedAssault
